CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (1, 6, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (1, 6, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (1, 6, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 1, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 1, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 1, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 1, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 6, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 6, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 6, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 1), (4, 4)), 'data_format': 'channels_last', 'input_shape': (6, 6, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 1, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 1, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 1, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 1, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 6, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 6, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 6, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (1, 6, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 1, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 1, 1), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 1, 6), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 1, 6), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 6, 1), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (1, 1)), 'data_format': 'channels_first', 'input_shape': (6, 6, 1), 'batch_size': 3}
